% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:47
% Table:              Table 2 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (0.25, 0, 0)
0                                                 2.226972533203344E-5
0.12242448515301106                               2.207110868498099E-5
0.12484897030602213                               2.2028618583907797E-5
0.12969794061204426                               2.238229507782878E-5
0.13939588122408855                               2.4186422005936593E-5
0.1587917624481771                                2.7930907707249614E-5
0.1781876436722657                                3.114102340742276E-5
0.21697940612044284                               4.4412636876812675E-5
0.25577116856862                                  6.120118448131556E-5
0.2945629310167971                                7.59551014819065E-5
0.33335469346497426                               8.592352900724289E-5
0.41093821836132854                               9.138144609171666E-5
0.48852174325768283                               9.21464447303281E-5
0.5661052681540371                                1.0188491376699068E-4
0.6436887930503914                                1.4605899476139754E-4
0.7212723179467457                                1.7677117843438447E-4
0.8764393677394543                                1.1016091302565407E-4
1.0316064175321629                                1.6072505911943007E-4
1.1867734673248713                                1.9867628758742057E-4
1.34194051711758                                  1.0397380997660731E-4
1.4971075669102887                                2.3194557517529503E-5
1.8074416664957058                                2.0140341144132007E-4
2.117775766081123                                 8.141203828776678E-4
2.4281098656665403                                0.0018058512330471703
2.7384439652519577                                0.0035402678969194495
3.048778064837375                                 0.0067979129834168225
3.3591121644227924                                0.012689889459149867
3.9797803635936266                                0.04630661662150086
4.600448562764461                                 0.14475812171150715
5.221116761935296                                 0.4009140565395657
5.84178496110613                                  1.003567782792787
6.462453160276965                                 2.2984322406990927
7.0831213594478                                   4.862006384681981
8.324457757789467                                 19.854479851935356
9.565794156131137                                 57.639022313552715
10.807130554472806                                134.45872232090164
12.048466952814476                                269.2711294336645
13.289803351156145                                481.07981999869105
14.531139749497815                                786.3471703914953
17.01381254618115                                 1721.8165335869346
19.49648534286449                                 3089.2297315399906
21.979158139547827                                4855.853549190533
24.461830936231166                                6955.1546550095845
26.944503732914505                                9304.368129249135
29.427176529597844                                11819.941752995917
34.39252212296452                                 17003.102566484904
39.3578677163312                                  22159.038851567453
44.32321330969788                                 27051.26090806632
49.288558903064555                                31548.33311415024
54.25390449643123                                 35598.65694612953
59.21925008979791                                 39200.05461031093
64.18459568316459                                 42376.95268206042
74.11528686989794                                 47654.88694415225
84.0459780566313                                  51698.64938365424
93.97666924336465                                 54763.39209554042
103.90736043009801                                57066.83901794769
113.83805161683136                                58782.396813394866
123.76874280356472                                60043.85924405776
133.69943399029808                                60953.06841127393
153.5608163637648                                 62066.51985589017
173.4221987372315                                 62463.203248104
193.2835811106982                                 62392.766869386745
213.14496348416492                                62025.804746295915
233.00634585763163                                61472.86449419416
252.86772823109834                                60805.027142135456
272.72911060456505                                60068.33839098095
312.4518753514984                                 58518.47731106186
352.17464009843184                                56931.51661968037
391.89740484536526                                55373.21231188758
431.6201695922987                                 53878.45178669667
471.3429343392321                                 52462.02514895702
511.0656990861655                                 51127.7264841173
550.788463833099                                  49873.84981443641
590.5112285800324                                 48696.18288820753
669.9567580738992                                 46542.03536099297
749.402287567766                                  44629.224280162176
828.8478170616329                                 42922.68651217167
908.2933465554997                                 41391.292322731184
987.7388760493666                                 40008.80425856352
1067.1844055432334                                38753.55263861096
1146.6299350371003                                37607.763647354725
1226.075464530967                                 36556.849991752904
1384.9665235187008                                34682.59331164367
1543.8575825064345                                33069.793103829405
1702.7486414941682                                31667.948164546822
1861.6397004819019                                30437.455301225255
2020.5307594696355                                29348.147697142802
2179.421818457369                                 28376.88925600742
2338.312877445103                                 27505.63547295987
2497.2039364328366                                26720.037651187315
2656.0949954205703                                26008.472615723796
2973.877113396037                                 24761.883590112335
3259.8810195739575                                23814.952031011024
3545.8849257518777                                23000.63499798069
3831.888831929798                                 22293.760173314116
4117.892738107718                                 21674.764597582358
4403.896644285639                                 21128.318141096228
4689.90055046356                                  20642.296269127084
4975.9044566414805                                20207.0238823037
5261.908362819401                                 19814.718741001514
5833.916175175242                                 19129.40655543181
6405.923987531082                                 18555.47743413999
6977.931799886923                                 18068.19245576311
7549.939612242763                                 17648.933500191815
8121.947424598604                                 17284.20795358921
8693.955236954445                                 16964.205086603826
9265.963049310287                                 16681.6556634349
10409.978674021968                                16203.29734096474
11553.994298733649                                15823.049422449385
12698.00992344533                                 15519.9235422936
13842.025548157011                                15277.58754774788
14986.041172868692                                15083.522553851732
16130.056797580373                                14927.993540967213
17274.072422292054                                14803.318671911838
18418.088047003737                                14703.377651720364
19562.10367171542                                 14623.270328014161
20706.119296427103                                14559.066100639604
22994.150545850465                                14463.699595867667
25282.181795273827                                14402.367024483043
27570.21304469719                                 14363.627818327474
29858.24429412055                                 14339.399451524192
32146.275543543914                                14324.338211632952
34434.306792967276                                14315.011330068866
39010.369291814                                   14304.44854050618
43586.431790660725                                14300.628132453996
48162.49428950745                                 14299.631143646431
54162.49428950745                                 14299.465557515667
60162.49428950745                                 14299.745878394871
