% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:49
% Table:              Table 8 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (1, 0, 0)
0                                                 1.8501403812513675E-8
0.12242448515301106                               1.626832824298526E-8
0.12484897030602213                               1.626832824298526E-8
0.12969794061204426                               1.5614169483734138E-8
0.13939588122408855                               1.321091474358643E-8
0.1587917624481771                                1.509256890648496E-8
0.1781876436722657                                1.2165735478085745E-8
0.21697940612044284                               6.589740618849253E-9
0.25577116856862                                  4.635084266378121E-9
0.2945629310167971                                3.266589535063146E-9
0.33335469346497426                               3.941157806646145E-9
0.41093821836132854                               9.532804899336102E-10
0.48852174325768283                               6.505129030828918E-9
0.5661052681540371                                6.5397787140232615E-9
0.6436887930503914                                8.627491885147449E-9
0.7212723179467457                                8.457712314639677E-9
0.8764393677394543                                4.7755486391516215E-9
1.0316064175321629                                8.04187495116587E-9
1.1867734673248713                                6.778756018307925E-9
1.34194051711758                                  3.4864448030385856E-9
1.4971075669102887                                7.118674471907883E-9
1.8074416664957058                                5.813048724146424E-9
2.117775766081123                                 4.379150756285136E-9
2.4281098656665403                                4.379150756285136E-9
2.7384439652519577                                1.4550662624206972E-9
3.048778064837375                                 1.8252538699438726E-9
3.3591121644227924                                4.071800192046235E-9
3.9797803635936266                                4.432187254858249E-9
4.600448562764461                                 1.4619308957394843E-9
5.221116761935296                                 2.138742382041864E-9
5.84178496110613                                  1.1765895980287778E-9
6.462453160276965                                 2.647407534096998E-9
7.0831213594478                                   2.8396823073870494E-9
8.324457757789467                                 1.7893233191861222E-9
9.565794156131137                                 2.406678240575811E-9
10.807130554472806                                5.249810616784308E-9
12.048466952814476                                1.7863656563469818E-9
13.289803351156145                                2.403733713193215E-9
14.531139749497815                                3.901739578447508E-9
17.01381254618115                                 3.2174597169736007E-9
19.49648534286449                                 1.4619308957394843E-9
21.979158139547827                                1.457894450353619E-9
24.461830936231166                                2.4039758233245197E-9
26.944503732914505                                2.83947653025199E-9
29.427176529597844                                3.6792933294607508E-9
34.39252212296452                                 2.3277627543170117E-8
39.3578677163312                                  2.9939898862802964E-7
44.32321330969788                                 2.1630852872524207E-6
49.288558903064555                                1.1288624032769754E-5
54.25390449643123                                 4.714146631273044E-5
59.21925008979791                                 1.6633561957740952E-4
64.18459568316459                                 5.129420669529457E-4
74.11528686989794                                 0.005943047859418527
84.0459780566313                                  0.030947134320145266
93.97666924336465                                 0.11280680664097519
103.90736043009801                                0.3291718127343781
113.83805161683136                                0.8191126478104068
123.76874280356472                                1.8036037127632076
133.69943399029808                                3.6007347359944126
153.5608163637648                                 12.175951934088156
173.4221987372315                                 30.62703124184144
193.2835811106982                                 63.74186563044696
213.14496348416492                                116.28696645833149
233.00634585763163                                192.33957351573798
252.86772823109834                                294.84289621238185
272.72911060456505                                425.409404763985
312.4518753514984                                 768.7650317709135
352.17464009843184                                1211.8656776635821
391.89740484536526                                1737.263804195305
431.6201695922987                                 2324.3353090452138
471.3429343392321                                 2952.5504029273275
511.0656990861655                                 3603.6007913230046
550.788463833099                                  4262.369919218722
590.5112285800324                                 4917.089321820127
669.9567580738992                                 6176.510857216282
749.402287567766                                  7350.138379270645
828.8478170616329                                 8421.295082484025
908.2933465554997                                 9385.35886614408
987.7388760493666                                 10245.744500987248
1067.1844055432334                                11010.111274823978
1146.6299350371003                                11687.826048063025
1226.075464530967                                 12288.486960982824
1384.9665235187008                                13303.365806291797
1543.8575825064345                                14106.29976204676
1702.7486414941682                                14742.21825842194
1861.6397004819019                                15247.356402903888
2020.5307594696355                                15649.594910694132
2179.421818457369                                 15970.137702486585
2338.312877445103                                 16225.143817452199
2497.2039364328366                                16427.041954690267
2656.0949954205703                                16585.512669623724
2973.877113396037                                 16807.773684472304
3259.8810195739575                                16918.999135283826
3545.8849257518777                                16969.498602745236
3831.888831929798                                 16975.951596244664
4117.892738107718                                 16950.486744389185
4403.896644285639                                 16902.00468397687
4689.90055046356                                  16837.11096951367
4975.9044566414805                                16760.759618762266
5261.908362819401                                 16676.696139025848
5833.916175175242                                 16498.34046547161
6405.923987531082                                 16314.361993465654
6977.931799886923                                 16133.43263957722
7549.939612242763                                 15960.965809184416
8121.947424598604                                 15799.864250870936
8693.955236954445                                 15651.374210469763
9265.963049310287                                 15515.720394673259
10409.978674021968                                15280.115307397184
11553.994298733649                                15087.628246770946
12698.00992344533                                 14931.855005149739
13842.025548157011                                14806.481234280645
14986.041172868692                                14705.859375594067
16130.056797580373                                14625.204392450145
17274.072422292054                                14560.58240052219
18418.088047003737                                14508.809778851824
19562.10367171542                                 14467.329026348081
20706.119296427103                                14434.091523175968
22994.150545850465                                14384.726910715233
25282.181795273827                                14352.982771064622
27570.21304469719                                 14332.93285981856
29858.24429412055                                 14320.392947829278
32146.275543543914                                14312.597464882925
34434.306792967276                                14307.769916366404
39010.369291814                                   14302.302654552344
43586.431790660725                                14300.325214788665
48162.49428950745                                 14299.809173638294
54162.49428950745                                 14299.72346679968
60162.49428950745                                 14299.868560019719
