id,logq
0,-2.635272356222123e+00
1,-4.397597291630365e+00
2,-5.279393117280751e+00
3,-5.278970878649909e+00
4,-4.398019530261208e+00
5,-6.160344465669452e+00
6,-5.279393117280751e+00
7,-5.278970878649909e+00
8,-5.279603100153701e+00
9,-5.279221463104531e+00
10,-7.923723861212331e+00
11,-6.160595050124074e+00
12,-7.042350274192787e+00
13,-7.041968637143617e+00
14,-7.923723861212332e+00
15,-6.160595050124074e+00
16,-6.160766704300295e+00
17,-7.923091639708539e+00
18,-7.042140291319836e+00
19,-7.041718052688996e+00
20,-7.923513878339380e+00
21,-9.685838813747624e+00
22,-7.042140291319837e+00
23,-7.041718052688995e+00
24,-7.042350274192788e+00
25,-7.041968637143618e+00
26,-7.923723861212330e+00
27,-6.160595050124074e+00
28,-8.805097448231873e+00
29,-8.804715811182703e+00
30,-7.923723861212331e+00
31,-6.160595050124074e+00
